name of device,constant throughout,almost constant throughout,,,Ignore these,,,,,
name,bs_timestamp,rs_timestamp,seq_number,stored,accelx,accely,accelz,breathing_signal,breathing_rate,activity
F9:83:35:56:D1:CD,2.02E+13,-104,2,0,0.935303,0.108398,0.289551,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,3,0,0.956787,0.143311,0.286377,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,4,0,0.952881,0.126953,0.282715,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,5,0,0.952393,0.10791,0.262207,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,6,0,0.952393,0.093262,0.281494,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,7,0,0.951416,0.091797,0.273682,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,8,0,0.949707,0.107178,0.277344,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,9,0,0.954346,0.110352,0.281738,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,10,0,0.957031,0.139648,0.29126,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,11,0,0.9375,0.126953,0.284912,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,12,0,0.94751,0.102051,0.295654,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,13,0,0.939453,0.107666,0.290039,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,14,0,0.944824,0.104736,0.289551,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,15,0,0.946533,0.118408,0.291748,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,16,0,0.942139,0.123291,0.286377,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,17,0,0.941895,0.111572,0.294189,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,18,0,0.943848,0.114258,0.291992,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,19,0,0.945312,0.110596,0.289307,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,20,0,0.940918,0.109863,0.288086,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,21,0,0.953369,0.108398,0.284668,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,22,0,0.947021,0.10376,0.286133,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,23,0,0.944824,0.105957,0.285889,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,24,0,0.949219,0.107422,0.280273,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,25,0,0.947754,0.109375,0.277832,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,26,0,0.949951,0.101074,0.274414,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,27,0,0.949951,0.098145,0.27002,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,28,0,0.958984,0.100098,0.26709,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,29,0,0.961182,0.096924,0.259033,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,30,0,0.955566,0.092041,0.251953,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,31,0,0.95874,0.09375,0.252441,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,0,0,0.960693,0.091309,0.248291,0,0,0.340364
F9:83:35:56:D1:CD,2.02E+13,-104,1,0,0.965088,0.0896,0.239014,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,2,0,0.966309,0.100586,0.219238,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,3,0,0.96875,0.100342,0.222656,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,4,0,0.966797,0.100342,0.206787,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,5,0,0.970703,0.094238,0.196533,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,6,0,0.97998,0.084717,0.178711,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,7,0,0.966309,0.07251,0.162354,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,8,0,0.983887,0.051758,0.148438,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,9,0,0.981445,0.054688,0.130615,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,10,0,0.984131,0.045654,0.112305,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,11,0,0.997314,0.031494,0.098145,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,12,0,0.995361,0.012695,0.089844,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,13,0,0.987793,0.011475,0.070312,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,14,0,0.996582,0.014404,0.083252,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,15,0,0.985596,0.010986,0.07373,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,16,0,0.973633,0.004395,0.063965,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,17,0,0.986084,0.004395,0.060547,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,18,0,0.986572,0.000977,0.05249,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,19,0,0.988281,0.003662,0.046387,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,20,0,0.994873,0.001221,0.044678,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,21,0,0.987549,0.003906,0.04834,0,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,22,0,0.98877,0.005371,0.055664,-0.131334,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,23,0,0.991211,0.005371,0.063477,-0.122001,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,24,0,0.989746,0.01001,0.061279,-0.11083,0,0.208136
F9:83:35:56:D1:CD,2.02E+13,-104,25,0,0.991943,0.011719,0.072754,-0.096711,0,0.208136
