EXPERIMENT2_1.CSV,,,,,,,,,,,,,,,
min_spacing,iter_window_len,crazy_var,window_length,step1_benchmarks,step15_usage,,,,,,,,,,
0.33,0.1,60,200,"[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,,,,,,,,,,
subject,avg diff,setting.step1_usage,setting.step1_benchmarks,setting.step15_usage,setting.step2_usage,setting.step3_usage,,,good ones,,,,,,
"['filip2', 'hayden2', 'roy1']",12.9422968,"[1, 0, 1, 2, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,,"[1, 0, 1, 2, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.90310817,"[1, 0, 1, 3, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,,"[1, 0, 1, 3, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.83344409,"[1, 0, 1, 3, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,,"[1, 0, 1, 3, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.81973784,"[1, 0, 1, 3, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,,"[1, 0, 1, 3, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.66762877,"[1, 0, 1, 3, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,,"[1, 0, 1, 3, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.79341287,"[1, 0, 1, 3, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,,"[1, 0, 1, 3, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.48547513,"[1, 0, 1, 3, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,,"[1, 0, 1, 3, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.08117975,"[1, 0, 1, 3, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,,"[1, 0, 1, 3, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.89880169,"[1, 0, 1, 3, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,,"[1, 0, 1, 3, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.74826541,"[1, 0, 1, 3, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,,"[1, 0, 1, 3, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.77994445,"[1, 0, 1, 3, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,,"[1, 0, 1, 3, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",18.00107157,"[1, 0, 1, 3, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,,"[1, 0, 1, 3, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.93692705,"[1, 0, 1, 3, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,,"[1, 0, 1, 3, 0]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.91584887,"[1, 0, 1, 3, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,,"[1, 0, 1, 3, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.84676793,"[1, 0, 1, 3, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,,"[1, 0, 1, 3, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.83247854,"[1, 0, 1, 3, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,,"[1, 0, 1, 3, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.68095261,"[1, 0, 1, 3, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,,"[1, 0, 1, 3, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.80615357,"[1, 0, 1, 3, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,,"[1, 0, 1, 3, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.49879897,"[1, 0, 1, 3, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,,"[1, 0, 1, 3, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.09392045,"[1, 0, 1, 3, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,,"[1, 0, 1, 3, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.91212553,"[1, 0, 1, 3, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,,"[1, 0, 1, 3, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.7610061,"[1, 0, 1, 3, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,,"[1, 0, 1, 3, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.79326829,"[1, 0, 1, 3, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,,"[1, 0, 1, 3, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",18.01381227,"[1, 0, 1, 3, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,,"[1, 0, 1, 3, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.95025089,"[1, 0, 1, 3, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,,"[1, 0, 1, 3, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.88785342,"[1, 0, 1, 3, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,,"[1, 0, 1, 3, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.16044167,"[1, 0, 1, 3, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,,"[1, 0, 1, 3, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.14450015,"[1, 0, 1, 3, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,,"[1, 0, 1, 3, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.37843374,"[1, 0, 1, 3, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,,"[1, 0, 1, 3, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.46785359,"[1, 0, 1, 3, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,,"[1, 0, 1, 3, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.80903531,"[1, 0, 1, 3, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,,"[1, 0, 1, 3, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.76656956,"[1, 0, 1, 3, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,,"[1, 0, 1, 3, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.97123494,"[1, 0, 1, 3, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,,"[1, 0, 1, 3, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.91783751,"[1, 0, 1, 3, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,,"[1, 0, 1, 3, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.07327056,"[1, 0, 1, 3, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,,"[1, 0, 1, 3, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.75361987,"[1, 0, 1, 3, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,,"[1, 0, 1, 3, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.62366156,"[1, 0, 1, 3, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,,"[1, 0, 1, 3, 2]",,,,,,
"['filip2', 'hayden2', 'roy1']",45.12902476,"[1, 0, 1, 3, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",45.94341865,"[1, 0, 1, 3, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",45.09420423,"[1, 0, 1, 3, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",47.10767845,"[1, 0, 1, 3, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",43.14494758,"[1, 0, 1, 3, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",44.55783661,"[1, 0, 1, 3, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",46.16855932,"[1, 0, 1, 3, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",46.44409441,"[1, 0, 1, 3, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",46.18853658,"[1, 0, 1, 3, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",46.61500844,"[1, 0, 1, 3, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",46.13789064,"[1, 0, 1, 3, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",47.12430262,"[1, 0, 1, 3, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",17.17415409,"[1, 0, 1, 3, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,,"[1, 0, 1, 3, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.84537315,"[1, 0, 1, 3, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,,"[1, 0, 1, 3, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",18.69990251,"[1, 0, 1, 3, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,,"[1, 0, 1, 3, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",18.58376935,"[1, 0, 1, 3, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,,"[1, 0, 1, 3, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",18.49253804,"[1, 0, 1, 3, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,,"[1, 0, 1, 3, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",18.10931227,"[1, 0, 1, 3, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,,"[1, 0, 1, 3, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.66534847,"[1, 0, 1, 3, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,,"[1, 0, 1, 3, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",17.51423656,"[1, 0, 1, 3, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,,"[1, 0, 1, 3, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",18.41946882,"[1, 0, 1, 3, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,,"[1, 0, 1, 3, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",18.2443708,"[1, 0, 1, 3, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,,"[1, 0, 1, 3, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",18.57580863,"[1, 0, 1, 3, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,,"[1, 0, 1, 3, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",18.44195016,"[1, 0, 1, 3, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,,"[1, 0, 1, 3, 4]",,,,,,
"['filip2', 'hayden2', 'roy1']",45.88178828,"[1, 0, 1, 4, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",47.93571749,"[1, 0, 1, 4, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",47.56046732,"[1, 0, 1, 4, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",48.64217774,"[1, 0, 1, 4, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",49.29644714,"[1, 0, 1, 4, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",50.12146706,"[1, 0, 1, 4, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",46.85846712,"[1, 0, 1, 4, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",50.10963623,"[1, 0, 1, 4, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",47.62784667,"[1, 0, 1, 4, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",50.39277785,"[1, 0, 1, 4, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",49.22057225,"[1, 0, 1, 4, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",51.55676834,"[1, 0, 1, 4, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",27.29450076,"[1, 0, 1, 4, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",28.38812164,"[1, 0, 1, 4, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",29.22756247,"[1, 0, 1, 4, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",29.4412808,"[1, 0, 1, 4, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",29.70607682,"[1, 0, 1, 4, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",29.96685249,"[1, 0, 1, 4, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",33.07117137,"[1, 0, 1, 4, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",35.75253525,"[1, 0, 1, 4, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",33.95508643,"[1, 0, 1, 4, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",37.08960528,"[1, 0, 1, 4, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",33.11588522,"[1, 0, 1, 4, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",35.82855832,"[1, 0, 1, 4, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",39.02253331,"[1, 0, 1, 4, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",43.76570252,"[1, 0, 1, 4, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",40.65625061,"[1, 0, 1, 4, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",42.4268897,"[1, 0, 1, 4, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",40.30869909,"[1, 0, 1, 4, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",42.49829376,"[1, 0, 1, 4, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",39.28966981,"[1, 0, 1, 4, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",44.59251235,"[1, 0, 1, 4, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",41.12038589,"[1, 0, 1, 4, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",45.49679088,"[1, 0, 1, 4, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",41.29583111,"[1, 0, 1, 4, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",46.11262916,"[1, 0, 1, 4, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",45.88178828,"[1, 0, 1, 4, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",47.93571749,"[1, 0, 1, 4, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",47.56046732,"[1, 0, 1, 4, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",48.64217774,"[1, 0, 1, 4, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",49.29644714,"[1, 0, 1, 4, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",50.12146706,"[1, 0, 1, 4, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",46.85846712,"[1, 0, 1, 4, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",50.10963623,"[1, 0, 1, 4, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",47.62784667,"[1, 0, 1, 4, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",50.39277785,"[1, 0, 1, 4, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",49.22057225,"[1, 0, 1, 4, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",51.55676834,"[1, 0, 1, 4, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",47.64235481,"[1, 0, 1, 4, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",50.64628966,"[1, 0, 1, 4, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",52.82284496,"[1, 0, 1, 4, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",53.20577944,"[1, 0, 1, 4, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",50.35201216,"[1, 0, 1, 4, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",52.29652977,"[1, 0, 1, 4, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",46.07407727,"[1, 0, 1, 4, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",51.98083312,"[1, 0, 1, 4, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",46.04645523,"[1, 0, 1, 4, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",51.90997931,"[1, 0, 1, 4, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",47.89988525,"[1, 0, 1, 4, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",53.07010706,"[1, 0, 1, 4, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",32.9145706,"[1, 0, 2, 0, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",35.73597415,"[1, 0, 2, 0, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",30.76769983,"[1, 0, 2, 0, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",32.23823912,"[1, 0, 2, 0, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",31.58898068,"[1, 0, 2, 0, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",33.52929645,"[1, 0, 2, 0, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",36.5771418,"[1, 0, 2, 0, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",40.3370351,"[1, 0, 2, 0, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,, ,,,,,,
"['filip2', 'hayden2', 'roy1']",36.65259637,"[1, 0, 2, 0, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,, ,,,,,,
