Phase3.CSV
min_spacing,iter_window_len,crazy_var,window_length,step15_usage,step2_usage,step3_usage
0.33,0.1,60,200,1,6,1
"['filip2', 'hayden2', 'roy1']",46.9162462236,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[15.456581571965936, 100, 25.292157098721788]",200,0.09
"['filip2', 'hayden2', 'roy1']",8.13185415907,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[13.554047167631513, 3.976539589442808, 6.864975720124478]",200,0.1
"['filip2', 'hayden2', 'roy1']",14.4948408262,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[10.18235278517156, 28.08145975887911, 5.220709934640397]",200,0.11
"['filip2', 'hayden2', 'roy1']",14.3507030048,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[9.671486494716506, 28.08145975887911, 5.2991627609077865]",200,0.12
"['filip2', 'hayden2', 'roy1']",13.9566908789,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[9.88530222324457, 27.015959412940678, 4.968811000456453]",200,0.13
"['filip2', 'hayden2', 'roy1']",18.1197985188,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[9.787293420838916, 38.92684340386924, 5.645258731547098]",200,0.14
"['filip2', 'hayden2', 'roy1']",15.2629027208,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[6.363822642474488, 34.586998751779056, 4.837886768245878]",200,0.15
"['filip2', 'hayden2', 'roy1']",15.1099371029,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[5.831454956475639, 34.65423540564226, 4.844120946573539]",200,0.16
"['filip2', 'hayden2', 'roy1']",15.0553606179,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[5.667725501348094, 34.65423540564226, 4.844120946573539]",200,0.17
"['filip2', 'hayden2', 'roy1']",14.129740948,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[5.64547357552245, 32.176122339568366, 4.567626928792957]",200,0.18
