Phase2.CSV,,,,,,,,,,,,,,,
min_spacing,iter_window_len,crazy_var,window_length,step15_usage,step2_usage,step3_usage,,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.887116448,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.02, 0], [1.04, 0], [0.5, 0]]",1,6,1,"[18.35791630829447, 3.976539589442808, 7.326893447265791]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",19.15674944,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.01, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[8.507968316937136, 43.856010770759646, 5.106269231680039]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",19.15674944,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.01, 0], [1.03, 0], [0.4, 0]]",1,6,1,"[8.507968316937136, 43.856010770759646, 5.106269231680039]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",19.15674944,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.01, 0], [1.03, 0], [0.45, 0]]",1,6,1,"[8.507968316937136, 43.856010770759646, 5.106269231680039]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",19.15674944,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.01, 0], [1.03, 0], [0.5, 0]]",1,6,1,"[8.507968316937136, 43.856010770759646, 5.106269231680039]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",22.97552532,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.01, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[12.977157217800828, 49.15784788422196, 6.791570860681991]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",22.97552532,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.01, 0], [1.04, 0], [0.4, 0]]",1,6,1,"[12.977157217800828, 49.15784788422196, 6.791570860681991]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",22.97552532,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.01, 0], [1.04, 0], [0.45, 0]]",1,6,1,"[12.977157217800828, 49.15784788422196, 6.791570860681991]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",22.97552532,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.01, 0], [1.04, 0], [0.5, 0]]",1,6,1,"[12.977157217800828, 49.15784788422196, 6.791570860681991]",,,,,,,,
"['filip2', 'hayden2', 'roy1']",17.81876653,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.015, 0], [1.03, 0], [0.35, 0]]",1,6,1,"[10.13058889151461, 35.987141598056695, 7.338569114123418]",,,,,,,,
