name,bs_timestamp,rs_timestamp,seq_number,stored,accelx,accely,accelz,breathing_signal,breathing_rate,activity
EE:56:81:F6:50:51,20160107110442.551,-70,0,0,0.884033,0.428223,0.139893,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.558,-70,1,0,0.879639,0.426514,0.132568,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.568,-70,2,0,0.886719,0.423340,0.135742,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.574,-70,3,0,0.883301,0.428711,0.140137,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.579,-70,4,0,0.882080,0.432129,0.135742,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.599,-70,5,0,0.878906,0.428955,0.141846,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.605,-70,6,0,0.880127,0.428955,0.135986,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.610,-70,7,0,0.878418,0.433594,0.142090,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.617,-70,8,0,0.878174,0.435303,0.137451,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.621,-70,9,0,0.874756,0.429688,0.134521,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.625,-70,10,0,0.880615,0.434814,0.138428,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.630,-70,11,0,0.877930,0.433838,0.138916,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.635,-70,12,0,0.878174,0.435547,0.140137,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.638,-70,13,0,0.877930,0.430908,0.141602,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.644,-70,14,0,0.882812,0.431396,0.136475,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.649,-70,15,0,0.879150,0.432617,0.146729,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.658,-70,16,0,0.880371,0.428711,0.140869,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.665,-70,17,0,0.882080,0.424805,0.138672,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.669,-70,18,0,0.882324,0.425049,0.143311,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.673,-70,19,0,0.881104,0.418457,0.137207,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.799,-70,20,0,0.884033,0.422852,0.140381,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.809,-70,21,0,0.879639,0.420654,0.139404,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.816,-70,22,0,0.884521,0.427002,0.137695,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.841,-70,23,0,0.880371,0.431885,0.151123,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.847,-70,24,0,0.880859,0.432617,0.148193,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.852,-70,25,0,0.879639,0.428711,0.143066,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.858,-70,26,0,0.881836,0.428955,0.151367,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.863,-70,27,0,0.882324,0.424072,0.140381,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.867,-70,28,0,0.882812,0.424072,0.145020,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.872,-70,29,0,0.881104,0.422852,0.142578,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.876,-70,30,0,0.883789,0.425537,0.139404,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110442.880,-70,31,0,0.878662,0.434082,0.152100,0.000000,0.000000,0.000000
EE:56:81:F6:50:51,20160107110445.060,-70,0,0,0.881104,0.432373,0.140381,0.000000,0.000000,0.174214
