Phase2.CSV,,,,,,,,,,,,,,,,
min_spacing,iter_window_len,crazy_var,window_length,step15_usage,step2_usage,step3_usage,,,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.68426624,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[18.483445086231793, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.27354903,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[17.251293436518083, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.27097091,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[16.57412357502679, 3.976539589442808, 10.26224957947831]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.85244909,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[18.47012570605655, 3.976539589442808, 10.110681962249503]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.68426624,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[18.483445086231793, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.27354903,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[17.251293436518083, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.27097091,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[16.57412357502679, 3.976539589442808, 10.26224957947831]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.85244909,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[18.47012570605655, 3.976539589442808, 10.110681962249503]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.68426624,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[18.483445086231793, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.27354903,"[1, 2, 1, 0, 2]","[[0, 0], [1.01, 0], [1.03, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[17.251293436518083, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.40947476,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[9.263013278563847, 39.272900638872215, 6.692510355771565]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.03304303,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[10.617342500078552, 36.789276221887796, 6.692510355771565]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",17.9235678,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[10.007048402203575, 36.789276221887796, 6.974378780516]",,,,,,,,,
