"[1447759191742L, 191]","[1447759191770L, 194]","[1447759191791L, 199]"
"[1447759192424L, 191]","[1447759192471L, 192]","[1447759192472L, 195]","[1447759192520L, 198]"
"[1447759192572L, 199]","[1447759192619L, 192]"
"[1447759193742L, 191]","[1447759193743L, 194]","[1447759193791L, 197]","[1447759193793L, 200]"
"[1447759193841L, 203]","[1447759193851L, 206]","[1447759193890L, 198]"
"[1447759194960L, 191]","[1447759194961L, 192]","[1447759195010L, 199]"
"[1447759195055L, 202]","[1447759195056L, 204]","[1447759195105L, 191]"
"[1447759196082L, 193]","[1447759196083L, 194]","[1447759196129L, 201]"
"[1447759197055L, 193]","[1447759197056L, 195]","[1447759197102L, 199]","[1447759197104L, 202]"
"[1447759197983L, 192]","[1447759197994L, 193]","[1447759198037L, 197]","[1447759198040L, 201]"
"[1447759198080L, 204]","[1447759198090L, 206]","[1447759198131L, 196]"
"[1447759198906L, 194]","[1447759198907L, 195]","[1447759198955L, 198]","[1447759198956L, 201]"
"[1447759199003L, 206]","[1447759199004L, 206]","[1447759199052L, 200]","[1447759199053L, 192]"
"[1447759199785L, 193]","[1447759199786L, 193]","[1447759199835L, 198]"
"[1447759199883L, 205]","[1447759199931L, 207]"
"[1447759200856L, 194]","[1447759200858L, 195]","[1447759200906L, 201]"
"[1447759200955L, 207]","[1447759201003L, 199]","[1447759201005L, 191]"
"[1447759201831L, 192]","[1447759201832L, 194]","[1447759201881L, 196]"
"[1447759201888L, 197]","[1447759201932L, 202]","[1447759201942L, 206]"
"[1447759202908L, 191]","[1447759202915L, 192]"
"[1447759202965L, 195]","[1447759202968L, 195]","[1447759203003L, 201]","[1447759203007L, 205]"
"[1447759203056L, 207]","[1447759203064L, 207]","[1447759203104L, 201]"
"[1447759203927L, 193]","[1447759203929L, 194]","[1447759203976L, 195]","[1447759203977L, 197]"
"[1447759204026L, 206]"
"[1447759205147L, 192]","[1447759205196L, 194]","[1447759205199L, 196]"
"[1447759205246L, 200]","[1447759205253L, 203]","[1447759205297L, 206]"
"[1447759206271L, 193]","[1447759206316L, 194]","[1447759206318L, 198]"
"[1447759206366L, 204]","[1447759206413L, 208]"
"[1447759207244L, 191]","[1447759207250L, 194]"
"[1447759207301L, 196]","[1447759207308L, 197]","[1447759207342L, 202]"
"[1447759207390L, 210]","[1447759207399L, 212]","[1447759207441L, 207]"
"[1447759208267L, 194]","[1447759208269L, 196]","[1447759208316L, 198]"
"[1447759208368L, 206]","[1447759208370L, 206]","[1447759208415L, 202]"
"[1447759209146L, 198]","[1447759209193L, 198]","[1447759209194L, 201]"
"[1447759209242L, 206]","[1447759209243L, 206]","[1447759209292L, 204]"
"[1447759209974L, 194]","[1447759210021L, 198]","[1447759210022L, 199]"
