EXPERIMENT2_1.CSV
min_spacing,iter_window_len,crazy_var,window_length,step1_benchmarks,step15_usage
0.33,0.1,60,200,"[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1
subject,avg diff,setting.step1_usage,setting.step1_benchmarks,setting.step15_usage,setting.step2_usage,setting.step3_usage
"['filip2', 'hayden2', 'roy1']",45.9463763367,"[1, 0, 0, 0, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1
"['filip2', 'hayden2', 'roy1']",51.6272082368,"[1, 0, 0, 0, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2
"['filip2', 'hayden2', 'roy1']",46.8848205036,"[1, 0, 0, 0, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1
"['filip2', 'hayden2', 'roy1']",51.7257335572,"[1, 0, 0, 0, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2
"['filip2', 'hayden2', 'roy1']",47.6689700929,"[1, 0, 0, 0, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1
"['filip2', 'hayden2', 'roy1']",52.4049731046,"[1, 0, 0, 0, 3]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2
"['filip2', 'hayden2', 'roy1']",47.3783192395,"[1, 0, 0, 0, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1
"['filip2', 'hayden2', 'roy1']",50.4808597754,"[1, 0, 0, 0, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,2
"['filip2', 'hayden2', 'roy1']",52.8137123664,"[1, 0, 0, 0, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,1
"['filip2', 'hayden2', 'roy1']",53.1922700772,"[1, 0, 0, 0, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2
"['filip2', 'hayden2', 'roy1']",50.0097453829,"[1, 0, 0, 0, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1
"['filip2', 'hayden2', 'roy1']",52.2091638108,"[1, 0, 0, 0, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2
"['filip2', 'hayden2', 'roy1']",46.0740772722,"[1, 0, 0, 0, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1
"['filip2', 'hayden2', 'roy1']",51.9808331164,"[1, 0, 0, 0, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2
"['filip2', 'hayden2', 'roy1']",46.0464552265,"[1, 0, 0, 0, 4]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1
