1.45E+12,196,,,,,Avg,188.4189526
1.45E+12,185,,,,,,
1.45E+12,180,,,,,,
1.45E+12,178,,,,,,
1.45E+12,178,,,,,,
1.45E+12,178,,,,,,
1.45E+12,179,,,,,,
1.45E+12,178,,,,,,
1.45E+12,177,,,,,,
1.45E+12,177,,,,,,
1.45E+12,178,,,,,,
1.45E+12,178,,,,,,
1.45E+12,178,,,,,,
1.45E+12,179,,,,,,
1.45E+12,180,,,,,,
1.45E+12,180,,,,,,
1.45E+12,180,,,,,,
1.45E+12,180,,,,,,
1.45E+12,183,,,,,,
1.45E+12,183,,,,,,
1.45E+12,183,,,,,,
1.45E+12,206,,,,,,
1.45E+12,220,,,,,,
1.45E+12,151,,,,,,
1.45E+12,162,,,,,,
1.45E+12,188,,,,,,
1.45E+12,191,,,,,,
1.45E+12,193,,,,,,
1.45E+12,196,,,,,,
1.45E+12,199,,,,,,
1.45E+12,204,,,,,,
1.45E+12,217,,,,,,
1.45E+12,222,,,,,,
1.45E+12,223,,,,,,
1.45E+12,217,,,,,,
1.45E+12,193,,,,,,
1.45E+12,184,,,,,,
1.45E+12,181,,,,,,
1.45E+12,179,,,,,,
1.45E+12,180,,,,,,
1.45E+12,180,,,,,,
1.45E+12,180,,,,,,
1.45E+12,180,,,,,,
1.45E+12,179,,,,,,
1.45E+12,179,,,,,,
1.45E+12,179,,,,,,
1.45E+12,179,,,,,,
1.45E+12,180,,,,,,
1.45E+12,180,,,,,,
1.45E+12,181,,,,,,
1.45E+12,181,,,,,,
1.45E+12,181,,,,,,
1.45E+12,183,,,,,,
1.45E+12,184,,,,,,
1.45E+12,183,,,,,,
1.45E+12,183,,,,,,
1.45E+12,183,,,,,,
1.45E+12,231,,,,,,
1.45E+12,165,,,,,,
1.45E+12,151,,,,,,
1.45E+12,174,,,,,,
1.45E+12,186,,,,,,
1.45E+12,190,,,,,,
1.45E+12,196,,,,,,
1.45E+12,199,,,,,,
1.45E+12,204,,,,,,
1.45E+12,210,,,,,,
1.45E+12,223,,,,,,
1.45E+12,225,,,,,,
1.45E+12,218,,,,,,
1.45E+12,206,,,,,,
1.45E+12,183,,,,,,
1.45E+12,179,,,,,,
1.45E+12,178,,,,,,
1.45E+12,177,,,,,,
1.45E+12,178,,,,,,
1.45E+12,179,,,,,,
1.45E+12,178,,,,,,
1.45E+12,178,,,,,,
1.45E+12,178,,,,,,
1.45E+12,178,,,,,,
1.45E+12,178,,,,,,
1.45E+12,179,,,,,,
1.45E+12,179,,,,,,
1.45E+12,180,,,,,,
1.45E+12,180,,,,,,
1.45E+12,181,,,,,,
1.45E+12,181,,,,,,
1.45E+12,183,,,,,,
1.45E+12,184,,,,,,
1.45E+12,183,,,,,,
1.45E+12,183,,,,,,
1.45E+12,182,,,,,,
1.45E+12,167,,,,,,
1.45E+12,157,,,,,,
1.45E+12,177,,,,,,
1.45E+12,190,,,,,,
1.45E+12,192,,,,,,
1.45E+12,195,,,,,,
1.45E+12,198,,,,,,
1.45E+12,208,,,,,,
1.45E+12,215,,,,,,
1.45E+12,221,,,,,,
1.45E+12,223,,,,,,
1.45E+12,219,,,,,,
1.45E+12,207,,,,,,
1.45E+12,185,,,,,,
1.45E+12,180,,,,,,
1.45E+12,178,,,,,,
1.45E+12,178,,,,,,
1.45E+12,179,,,,,,
1.45E+12,180,,,,,,
1.45E+12,180,,,,,,
1.45E+12,179,,,,,,
1.45E+12,179,,,,,,
1.45E+12,178,,,,,,
1.45E+12,179,,,,,,
1.45E+12,179,,,,,,
1.45E+12,180,,,,,,
